Company name Latin alphabet,"City
Latin Alphabet",Attribute,Date,Value
CREDIT AGRICOLE,MONTROUGE,Return on average equity (ROAE),2023,6.480405443
CREDIT AGRICOLE,MONTROUGE,Return on average equity (ROAE),2022,7.650592454
CREDIT AGRICOLE,MONTROUGE,Return on average equity (ROAE),2021,4.187768137
CREDIT AGRICOLE,MONTROUGE,Return on average equity (ROAE),2020,6.592447438
CREDIT AGRICOLE,MONTROUGE,Return on average equity (ROAE),2019,6.70140594
CREDIT AGRICOLE,MONTROUGE,Return on average equity (ROAE),2018,6.647385141
CREDIT AGRICOLE,MONTROUGE,Return on average equity (ROAE),2017,5.15665894
CREDIT AGRICOLE,MONTROUGE,Equity to Assets Ratio,2023,5.768928099
CREDIT AGRICOLE,MONTROUGE,Equity to Assets Ratio,2022,5.754754456
CREDIT AGRICOLE,MONTROUGE,Equity to Assets Ratio,2021,5.703418967
CREDIT AGRICOLE,MONTROUGE,Equity to Assets Ratio,2020,6.043563143
CREDIT AGRICOLE,MONTROUGE,Equity to Assets Ratio,2019,6.048643412
CREDIT AGRICOLE,MONTROUGE,Equity to Assets Ratio,2018,6.110361514
CREDIT AGRICOLE,MONTROUGE,Equity to Assets Ratio,2017,5.988568934
CREDIT AGRICOLE,MONTROUGE,NPL,2023,2.1210185
CREDIT AGRICOLE,MONTROUGE,NPL,2022,2.023798168
CREDIT AGRICOLE,MONTROUGE,NPL,2021,2.368980433
CREDIT AGRICOLE,MONTROUGE,NPL,2020,2.466510305
CREDIT AGRICOLE,MONTROUGE,NPL,2019,2.636748133
CREDIT AGRICOLE,MONTROUGE,NPL,2018,3.093165178
CREDIT AGRICOLE,MONTROUGE,NPL,2017,3.438037686
CREDIT AGRICOLE,MONTROUGE,Total assets EUR,2023,2350870
CREDIT AGRICOLE,MONTROUGE,Total assets EUR,2022,2323557
CREDIT AGRICOLE,MONTROUGE,Total assets EUR,2021,2217512
CREDIT AGRICOLE,MONTROUGE,Total assets EUR,2020,2010966
CREDIT AGRICOLE,MONTROUGE,Total assets EUR,2019,1854763
CREDIT AGRICOLE,MONTROUGE,Total assets EUR,2018,1763169
CREDIT AGRICOLE,MONTROUGE,Total assets EUR,2017,1722849
CREDIT AGRICOLE,MONTROUGE,Loan Ratio,2023,47.22132657
CREDIT AGRICOLE,MONTROUGE,Loan Ratio,2022,45.20564806
CREDIT AGRICOLE,MONTROUGE,Loan Ratio,2021,43.51989978
CREDIT AGRICOLE,MONTROUGE,Loan Ratio,2020,45.42394053
CREDIT AGRICOLE,MONTROUGE,Loan Ratio,2019,46.07774686
CREDIT AGRICOLE,MONTROUGE,Loan Ratio,2018,46.03325036
CREDIT AGRICOLE,MONTROUGE,Loan Ratio,2017,44.72266577
CREDIT AGRICOLE,MONTROUGE,Total customer deposits EUR,2023,1091465
CREDIT AGRICOLE,MONTROUGE,Total customer deposits EUR,2022,1042442
CREDIT AGRICOLE,MONTROUGE,Total customer deposits EUR,2021,961913
CREDIT AGRICOLE,MONTROUGE,Total customer deposits EUR,2020,853914
CREDIT AGRICOLE,MONTROUGE,Total customer deposits EUR,2019,788935
CREDIT AGRICOLE,MONTROUGE,Total customer deposits EUR,2018,730623
CREDIT AGRICOLE,MONTROUGE,Total customer deposits EUR,2017,688499
CREDIT AGRICOLE,MONTROUGE,LLP,2023,1.757913442
CREDIT AGRICOLE,MONTROUGE,LLP,2022,1.771863772
CREDIT AGRICOLE,MONTROUGE,LLP,2021,1.988944216
CREDIT AGRICOLE,MONTROUGE,LLP,2020,2.036675386
CREDIT AGRICOLE,MONTROUGE,LLP,2019,2.227873704
CREDIT AGRICOLE,MONTROUGE,LLP,2018,2.438543581
CREDIT AGRICOLE,MONTROUGE,LLP,2017,2.734650648
CREDIT AGRICOLE,MONTROUGE,Deposit Ratio,2023,0.464281309
CREDIT AGRICOLE,MONTROUGE,Deposit Ratio,2022,0.448640597
CREDIT AGRICOLE,MONTROUGE,Deposit Ratio,2021,0.433780291
CREDIT AGRICOLE,MONTROUGE,Deposit Ratio,2020,0.424628761
CREDIT AGRICOLE,MONTROUGE,Deposit Ratio,2019,0.425356231
CREDIT AGRICOLE,MONTROUGE,Deposit Ratio,2018,0.414380584
CREDIT AGRICOLE,MONTROUGE,Deposit Ratio,2017,0.399628174
CREDIT AGRICOLE,MONTROUGE,Standard deviation of ROAA,2023,0.080064283
CREDIT AGRICOLE,MONTROUGE,Standard Deviation of ROAA,2022,0.083083109
CREDIT AGRICOLE,MONTROUGE,Standard Deviation of ROAA,2021,0.074261738
CREDIT AGRICOLE,MONTROUGE,Standard Deviation of ROAA,2020,0.003603939
CREDIT AGRICOLE,MONTROUGE,Standard Deviation of ROAA,2019,0.041872779
CREDIT AGRICOLE,MONTROUGE,Standard Deviation of ROAA,2018,0.041778113
CREDIT AGRICOLE,MONTROUGE,Standard Deviation of ROAA,2017,0.031776852
CREDIT AGRICOLE,MONTROUGE,Z Score,2023,4.340128185
CREDIT AGRICOLE,MONTROUGE,Z Score,2022,4.311351142
CREDIT AGRICOLE,MONTROUGE,Z score,2021,4.383389164
CREDIT AGRICOLE,MONTROUGE,Z Score,2020,7.488589048
CREDIT AGRICOLE,MONTROUGE,Z Score,2019,5.038129759
CREDIT AGRICOLE,MONTROUGE,Z Score,2018,5.049112166
CREDIT AGRICOLE,MONTROUGE,Z Score,2017,5.30729237
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average assets (ROAA),2023,0.992278483
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average assets (ROAA),2022,0.803110086
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average assets (ROAA),2021,0.287134827
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average assets (ROAA),2020,0.631825846
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average assets (ROAA),2019,0.900092775
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average assets (ROAA),2018,0.669800937
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average assets (ROAA),2017,0.63336154
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average equity (ROAE),2023,13.73987421
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average equity (ROAE),2022,11.37477222
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average equity (ROAE),2021,3.925828521
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average equity (ROAE),2020,8.06122449
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average equity (ROAE),2019,11.58413138
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average equity (ROAE),2018,8.75762062
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Return on average equity (ROAE),2017,8.465999802
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Equity to Assets Ratio,2023,7.097484365
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Equity to Assets Ratio,2022,7.355725352
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Equity to Assets Ratio,2021,6.794570863
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Equity to Assets Ratio,2020,7.861283259
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Equity to Assets Ratio,2019,7.813633737
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Equity to Assets Ratio,2018,7.727310273
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Equity to Assets Ratio,2017,7.57362104
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,NPL,2023,3.652086829
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,NPL,2022,4.431939476
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,NPL,2021,4.529738274
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,NPL,2020,4.029988734
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,NPL,2019,4.216281739
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,NPL,2018,4.97865009
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,NPL,2017,5.414761517
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total assets EUR,2023,713140
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total assets EUR,2022,662885
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total assets EUR,2021,736176
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total assets EUR,2020,698690
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total assets EUR,2019,676689
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total assets EUR,2018,690059
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total assets EUR,2017,731856
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Loan Ratio,2023,50.22421965
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Loan Ratio,2022,48.20911621
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Loan Ratio,2021,42.35196475
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Loan Ratio,2020,54.88199344
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Loan Ratio,2019,55.49609939
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Loan Ratio,2018,54.59170882
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Loan Ratio,2017,55.64223017
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total customer deposits EUR,2023,391598
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total customer deposits EUR,2022,348494
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total customer deposits EUR,2021,341916
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total customer deposits EUR,2020,383684
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total customer deposits EUR,2019,374763
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total customer deposits EUR,2018,367303
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Total customer deposits EUR,2017,387974
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,LLP,2023,3.056081849
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,LLP,2022,3.369084372
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,LLP,2021,3.748078265
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,LLP,2020,3.139066692
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,LLP,2019,3.146221001
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,LLP,2018,3.273224928
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,LLP,2017,3.774619265
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Deposit Ratio,2023,0.549117985
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Deposit Ratio,2022,0.525723165
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Deposit Ratio,2021,0.464448719
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Deposit Ratio,2020,0.549147691
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Deposit Ratio,2019,0.553818667
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Deposit Ratio,2018,0.532277675
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Deposit Ratio,2017,0.530123412
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Standard deviation of ROAA,2023,0.298001254
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Standard Deviation of ROAA,2022,0.214574685
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Standard Deviation of ROAA,2021,0.250886537
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Standard Deviation of ROAA,2020,0.118529688
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Standard Deviation of ROAA,2019,0.149806966
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Standard Deviation of ROAA,2018,0.081492711
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Standard Deviation of ROAA,2017,0.066276529
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Z Score,2023,3.301257
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Z Score,2022,3.638198863
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Z score,2021,3.340269281
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Z Score,2020,4.271846956
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Z Score,2019,4.063307248
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Z Score,2018,4.635129441
BANCO BILBAO VIZCAYA ARGENTARIA SA,BILBAO,Z Score,2017,4.837458237
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average assets (ROAA),2023,0.425363831
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average assets (ROAA),2022,0.189487448
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average assets (ROAA),2021,0.047580323
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average assets (ROAA),2020,-0.397987611
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average assets (ROAA),2019,0.024159818
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average assets (ROAA),2018,-0.047956499
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average assets (ROAA),2017,-0.084232078
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average equity (ROAE),2023,8.063665769
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average equity (ROAE),2022,3.854836976
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average equity (ROAE),2021,1.003570395
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average equity (ROAE),2020,-8.044492998
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average equity (ROAE),2019,0.498406852
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average equity (ROAE),2018,-1.105945019
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Return on average equity (ROAE),2017,-2.047657878
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Equity to Assets Ratio,2023,5.410581184
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Equity to Assets Ratio,2022,5.138244689
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Equity to Assets Ratio,2021,4.693120364
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Equity to Assets Ratio,2020,4.790109072
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Equity to Assets Ratio,2019,5.098665788
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Equity to Assets Ratio,2018,4.617720372
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Equity to Assets Ratio,2017,4.075267235
DEUTSCHE BANK AG,FRANKFURT AM MAIN,NPL,2023,2.427328322
DEUTSCHE BANK AG,FRANKFURT AM MAIN,NPL,2022,2.539800863
DEUTSCHE BANK AG,FRANKFURT AM MAIN,NPL,2021,2.762209394
DEUTSCHE BANK AG,FRANKFURT AM MAIN,NPL,2020,2.582867382
DEUTSCHE BANK AG,FRANKFURT AM MAIN,NPL,2019,2.439131292
DEUTSCHE BANK AG,FRANKFURT AM MAIN,NPL,2018,1.518920723
DEUTSCHE BANK AG,FRANKFURT AM MAIN,NPL,2017,1.769051691
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total assets EUR,2023,1336788
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total assets EUR,2022,1323993
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total assets EUR,2021,1325259
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total assets EUR,2020,1297674
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total assets EUR,2019,1348137
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total assets EUR,2018,1474732
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total assets EUR,2017,1590546
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Loan Ratio,2023,35.7391748
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Loan Ratio,2022,35.10184722
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Loan Ratio,2021,32.00197094
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Loan Ratio,2020,32.89123462
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Loan Ratio,2019,30.14767787
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Loan Ratio,2018,27.56446595
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Loan Ratio,2017,26.18056944
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total customer deposits EUR,2023,536404
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total customer deposits EUR,2022,519435
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total customer deposits EUR,2021,492599
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total customer deposits EUR,2020,495351
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total customer deposits EUR,2019,482425
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total customer deposits EUR,2018,482771
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Total customer deposits EUR,2017,434110
DEUTSCHE BANK AG,FRANKFURT AM MAIN,LLP,2023,0.992649421
DEUTSCHE BANK AG,FRANKFURT AM MAIN,LLP,2022,1.017837176
DEUTSCHE BANK AG,FRANKFURT AM MAIN,LLP,2021,1.124420654
DEUTSCHE BANK AG,FRANKFURT AM MAIN,LLP,2020,0.932598952
DEUTSCHE BANK AG,FRANKFURT AM MAIN,LLP,2019,1.03414102
DEUTSCHE BANK AG,FRANKFURT AM MAIN,LLP,2018,0.955355816
DEUTSCHE BANK AG,FRANKFURT AM MAIN,LLP,2017,1.079912581
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Deposit Ratio,2023,0.401263327
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Deposit Ratio,2022,0.392324582
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Deposit Ratio,2021,0.371700173
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Deposit Ratio,2020,0.38172222
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Deposit Ratio,2019,0.357845679
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Deposit Ratio,2018,0.327361853
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Deposit Ratio,2017,0.272931434
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Standard deviation of ROAA,2023,0.155811738
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Standard Deviation of ROAA,2022,0.250287693
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Standard Deviation of ROAA,2021,0.204745847
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Standard Deviation of ROAA,2020,0.184370097
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Standard Deviation of ROAA,2019,0.164796704
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Standard Deviation of ROAA,2018,0.160809103
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Standard Deviation of ROAA,2017,0.209686226
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Z Score,2023,3.623143018
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Z Score,2022,3.05806991
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Z score,2021,3.14217079
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Z Score,2020,3.170622502
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Z Score,2019,3.436748827
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Z Score,2018,3.346998846
DEUTSCHE BANK AG,FRANKFURT AM MAIN,Z Score,2017,3.073634713
INTESA SANPAOLO S.P.A.,TORINO,Return on average assets (ROAA),2023,0.430810485
INTESA SANPAOLO S.P.A.,TORINO,Return on average assets (ROAA),2022,0.390323115
